,name,markdown_extension,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_plugin,license,trending,extra_dependencies,mkdocs_theme,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
0,PyMdown Extensions,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},62223.0,62223.0,56.0,https://pypi.org/project/pymdown-extensions,25689484.0,25689484.0,,16,True,1.0,,,,,,,,,,,,,,,,,,,,
1,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7104.0,7104.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2382927.0,2382927.0,,15,True,1.0,macros,MIT,,,,,,,,,,,,,,,,,,
2,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5314.0,5314.0,39.0,https://pypi.org/project/mkdocs-jupyter,483358.0,483358.0,,13,True,1.0,mkdocs-jupyter,,,,,,,,,,,,,,,,,,,
3,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12835.0,12835.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1604463.0,1604463.0,,13,True,1.0,git-revision-date-localized,,,,,,,,,,,,,,,,,,,
4,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3942.0,3942.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,986179.0,986179.0,,12,True,1.0,mermaid2,,,,,,,,,,,,,,,,,,,
5,MkDocs GLightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6363.0,6363.0,9.0,https://pypi.org/project/mkdocs-glightbox,1410062.0,1410062.0,,12,True,1.0,glightbox,,,,,,,,,,,,,,,,,,,
6,plantuml-markdown,plantuml_markdown,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1832.0,1832.0,30.0,https://pypi.org/project/plantuml-markdown,912014.0,912014.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,
7,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4685.0,4685.0,6.0,https://pypi.org/project/mkdocs-gen-files,1479041.0,1479041.0,,12,True,1.0,gen-files,,,,,,,,,,,,,,,,,,,
8,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12585.0,12585.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,1044891.0,1044891.0,,12,True,1.0,minify,,,,,,,,,,,,,,,,,,,
9,mkdocs-redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},8018.0,8018.0,18.0,https://pypi.org/project/mkdocs-redirects,1650430.0,1650430.0,,12,True,1.0,redirects,,,,,,,,,,,,,,,,,,,
10,mike,,jimporter/mike,mike,['plugin'],site-management,{},6869.0,6869.0,9.0,https://pypi.org/project/mike,1637057.0,1637057.0,,12,True,1.0,mike,,,,,,,,,,,,,,,,,,,
11,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4127.0,4127.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,716895.0,716895.0,,12,True,1.0,include-markdown,,,,,,,,,,,,,,,,,,,
12,mkdocs-click,mkdocs-click,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1280.0,1280.0,16.0,https://pypi.org/project/mkdocs-click,1129988.0,1129988.0,,11,True,1.0,,,-10.0,,,,,,,,,,,,,,,,,
