,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},92676.0,92676.0,332.0,https://pypi.org/project/mkdocs-material,17262004.0,17262004.0,,17,True,1.0,,,,,,,,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},63169.0,63169.0,56.0,https://pypi.org/project/pymdown-extensions,25923141.0,25923141.0,,16,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},30088.0,30088.0,55.0,https://pypi.org/project/mkdocstrings,8143124.0,8143124.0,,15,True,1.0,,,,,,,,,,,,,,,,,,
3,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7159.0,7159.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2311846.0,2311846.0,,15,True,1.0,,MIT,,,,,,,,,,,,,,,,
4,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5378.0,5378.0,39.0,https://pypi.org/project/mkdocs-jupyter,470529.0,470529.0,,13,True,1.0,,,,,,,,,,,,,,,,,,
5,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12995.0,12995.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1546437.0,1546437.0,,13,True,1.0,,,,,,,,,,,,,,,,,,
6,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3969.0,3969.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,986610.0,986610.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
7,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6441.0,6441.0,9.0,https://pypi.org/project/mkdocs-glightbox,1425093.0,1425093.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
8,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1834.0,1834.0,30.0,https://pypi.org/project/plantuml-markdown,942219.0,942219.0,,12,True,1.0,plantuml_markdown,,,,,,,,,,,,,,,,,
9,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4754.0,4754.0,6.0,https://pypi.org/project/mkdocs-gen-files,1349905.0,1349905.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
