,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,dependent_project_count,github_dependent_project_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
0,bibtex,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],BSD-3-Clause-LBNL,links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,2019-05-29 04:43:44,2025-11-01 14:02:27.000000,2025-11-01 14:02:19,450.0,31.0,283.0,6.0,53.0,92.0,2025-07-01 14:57:13,4.4.0,81.0,A MkDocs plugin for citation management using bibtex.,21.0,https://pypi.org/project/mkdocs-bibtex,50381.0,50381.0,17,True,1.0,,,,,,,,,,,,,,,
1,Material for MkDocs,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",,theming,,{},,,,,,,,,,,,,,334.0,https://pypi.org/project/mkdocs-material,14887211.0,14887211.0,17,True,1.0,material,{'plugins.social': 'mkdocs-material[imaging]'},93497.0,93497.0,,,,,,,,,,,
2,mkdocs-versioning,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],MIT,site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,5.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,5.0,https://pypi.org/project/mkdocs-versioning,7866.0,7866.0,16,True,1.0,,,182.0,182.0,1.0,,,,,,,,,,
3,mkdocstrings,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],,api-docs,,{},,,,,,,,,,,,,,55.0,https://pypi.org/project/mkdocstrings,7434486.0,7434486.0,15,True,1.0,,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",30451.0,30451.0,,,,,,,,,,,
4,macros,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],MIT,code-exec-templating,,{},,,,,,,,,,,,,,36.0,https://pypi.org/project/mkdocs-macros-plugin,2212318.0,2212318.0,15,True,1.0,,,7186.0,7186.0,,,,,,,,,,,
5,PyMdown Extensions,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],,markdown,,{},,,,,,,,,,,,,,56.0,https://pypi.org/project/pymdown-extensions,22700714.0,22700714.0,15,True,1.0,,,63784.0,63784.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,
6,drawio-exporter,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],MIT,charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,9.0,51.0,5.0,30.0,85.0,2025-04-22 22:38:06,0.10.2,15.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,5.0,https://pypi.org/project/mkdocs-drawio-exporter,8516.0,8516.0,14,True,1.0,,,,,1.0,,,,,,,,,,
7,git-revision-date-localized,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1315210.0,1315210.0,13,True,1.0,,,13097.0,13097.0,,,,,,,,,,,
8,mkdocs-site-urls,site-urls,OctoPrint/mkdocs-site-urls,mkdocs-site-urls,['plugin'],MIT,links-refs,https://github.com/OctoPrint/mkdocs-site-urls,https://github.com/OctoPrint/mkdocs-site-urls,2023-07-28 11:55:04,2026-03-04 15:30:02.000000,2026-03-04 15:29:44,27.0,4.0,1.0,,5.0,24.0,2025-09-04 08:39:24,0.3.1,4.0,A MkDocs plugin that adds support for site-relative `site:` URLs.,2.0,https://pypi.org/project/mkdocs-site-urls,11344.0,11344.0,12,True,1.0,,,,,1.0,,,,,,,,,,
9,mermaid2,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,901237.0,901237.0,12,True,1.0,,,3985.0,3985.0,,,,,,,,,,,
10,MkDocs GLightbox,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],,charts,,{},,,,,,,,,,,,,,9.0,https://pypi.org/project/mkdocs-glightbox,1228688.0,1228688.0,12,True,1.0,,,6486.0,6486.0,,,,,,,,,,,
11,plantuml-markdown,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],,charts,,{},,,,,,,,,,,,,,30.0,https://pypi.org/project/plantuml-markdown,823240.0,823240.0,12,True,1.0,,,1836.0,1836.0,,plantuml_markdown,,,,,,,,,
12,gen-files,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-gen-files,1185714.0,1185714.0,12,True,1.0,,,4816.0,4816.0,,,,,,,,,,,
13,mkdocs-jupyter,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,39.0,https://pypi.org/project/mkdocs-jupyter,393077.0,393077.0,12,True,1.0,,,5415.0,5415.0,,,,,,,,,,,
14,minify,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,14.0,https://pypi.org/project/mkdocs-minify-plugin,893274.0,893274.0,12,True,1.0,,,12790.0,12790.0,,,,,,,,,,,
15,mkdocs-redirects,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],,links-refs,,{},,,,,,,,,,,,,,18.0,https://pypi.org/project/mkdocs-redirects,1425390.0,1425390.0,12,True,1.0,,,8177.0,8177.0,,,,,,,,,,,
16,literate-nav,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-literate-nav,978621.0,978621.0,12,True,1.0,,,3878.0,3878.0,,,,,,,,,,,
17,mike,mike,jimporter/mike,mike,['plugin'],,site-management,,{},,,,,,,,,,,,,,9.0,https://pypi.org/project/mike,1300857.0,1300857.0,12,True,1.0,,,7078.0,7078.0,,,,,,,,,,,
18,include-markdown,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],,snippets-include,,{},,,,,,,,,,,,,,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,542793.0,542793.0,12,True,1.0,,,4209.0,4209.0,,,,,,,,,,,
19,mkdocs-click,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],,api-docs,,{},,,,,,,,,,,,,,16.0,https://pypi.org/project/mkdocs-click,1133089.0,1133089.0,11,True,1.0,,,1304.0,1304.0,,mkdocs-click,-10.0,,,,,,,,
20,markdown-exec,markdown-exec,pawamoy/markdown-exec,markdown-exec,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/markdown-exec,1212379.0,1212379.0,11,True,2.0,,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},902.0,902.0,,,,,,,,,,,
21,static-i18n,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],,i18n-l10n,,{},,,,,,,,,,,,,,14.0,https://pypi.org/project/mkdocs-static-i18n,534524.0,534524.0,11,True,1.0,,,2785.0,2785.0,,,,,,,,,,,
22,Math extension,,mitya57/python-markdown-math,python-markdown-math,['markdown'],,markdown,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/python-markdown-math,371298.0,371298.0,11,True,1.0,,,4078.0,4078.0,,mdx_math,-10.0,,,,,,,,
23,monorepo,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1930766.0,1930766.0,11,True,1.0,,,699.0,699.0,,,,,,,,,,,
24,techdocs-core,techdocs-core,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],,site-management,,{},,,,,,,,,,,,,,51.0,https://pypi.org/project/mkdocs-techdocs-core,727601.0,727601.0,11,True,1.0,,,226.0,226.0,,,,,,,,,,,
25,Markdown-Include,,cmacmackin/markdown-include,markdown-include,['markdown'],,snippets-include,,{},,,,,,,,,,,,,,12.0,https://pypi.org/project/markdown-include,226337.0,226337.0,11,True,2.0,,,8086.0,8086.0,,markdown_include.include,-10.0,,,,,,,,
26,Cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],MIT,theming,,{},,,,,,,,,,,,,,23.0,https://pypi.org/project/mkdocs-cinder,5837.0,5837.0,10,True,1.0,cinder,,712.0,712.0,,,,,,,,,,,
27,MkDocs Video,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],,charts,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-video,126159.0,126159.0,10,True,2.0,,,1174.0,1174.0,,,,,,,,,,,
28,markdownextradata,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,83879.0,83879.0,10,True,2.0,,,1681.0,1681.0,,,-10.0,,,,,,,,
29,git-revision-date,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,123470.0,123470.0,10,True,1.0,,,3051.0,3051.0,,,-10.0,,,,,,,,
30,git-authors,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,303751.0,303751.0,10,True,1.0,,,1982.0,1982.0,,,,,,,,,,,
31,git-committers-2,git-committers,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],,git-info,,{},,,,,,,,,,,,,An MkDocs plugin to create a list of contributors on the page.,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,98730.0,98730.0,10,True,1.0,,,1652.0,1652.0,,,,,,,,,,,
32,mkdocs-callouts,callouts,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],,markdown,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-callouts,60449.0,60449.0,10,True,1.0,,,1458.0,1458.0,,,,,,,,,,,
